Team	TGames	TWins	TWinPerc	Tdraws	TDrawPerc	Tlosses	TLossPerc	HGames	HTWins	HWinPerc	HDraws	HDrawPerc	HGLosses	HLossPerc	AGames	ATWins	AWinPerc	ADraws	ADrawPerc	AGLosses	ALossPerc
Middlesbrough	532	154	28.95	158	29.7	220	41.35	266	102	38.35	79	29.7	85	31.95	266	52	19.55	79	29.7	135	50.75
Sunderland	608	153	25.16	159	26.15	296	48.68	304	98	32.24	87	28.62	119	39.14	304	55	18.09	72	23.68	177	58.22
Bolton	494	149	30.16	128	25.91	217	43.93	247	93	37.65	75	30.36	79	31.98	247	56	22.67	53	21.46	138	55.87
Crystal Palace	527	156	29.6	133	25.24	238	45.16	264	85	32.2	64	24.24	115	43.56	263	71	27	69	26.24	123	46.77
Stoke	380	116	30.53	109	28.68	155	40.79	190	81	42.63	54	28.42	55	28.95	190	35	18.42	55	28.95	100	52.63
West Brom	494	117	23.68	139	28.14	238	48.18	247	76	30.77	66	26.72	105	42.51	247	41	16.6	73	29.55	133	53.85
Wolves	380	114	30	93	24.47	173	45.53	190	72	37.89	42	22.11	76	40	190	42	22.11	51	26.84	97	51.05
Charlton	304	93	30.59	82	26.97	129	42.43	152	58	38.16	40	26.32	54	35.53	152	35	23.03	42	27.63	75	49.34
Coventry	299	80	26.76	95	31.77	124	41.47	150	55	36.67	50	33.33	45	30	149	25	16.78	45	30.2	79	53.02
Burnley	342	88	25.73	85	24.85	169	49.42	171	54	31.58	42	24.56	75	43.86	171	34	19.88	43	25.15	94	54.97
Portsmouth	266	79	29.7	65	24.44	122	45.86	133	54	40.6	34	25.56	45	33.83	133	25	18.8	31	23.31	77	57.89
Norwich	336	77	22.92	92	27.38	167	49.7	168	53	31.55	50	29.76	65	38.69	168	24	14.29	42	25	102	60.71
Swansea	266	82	30.83	66	24.81	118	44.36	133	51	38.35	37	27.82	45	33.83	133	31	23.31	29	21.8	73	54.89
Wimbledon	260	81	31.15	75	28.85	104	40	129	50	38.76	38	29.46	41	31.78	131	31	23.66	37	28.24	63	48.09
Birmingham	266	73	27.44	82	30.83	111	41.73	133	50	37.59	46	34.59	37	27.82	133	23	17.29	36	27.07	74	55.64
Sheffield Weds	260	80	30.77	69	26.54	111	42.69	130	49	37.69	40	30.77	41	31.54	130	31	23.85	29	22.31	70	53.85
Wigan	304	85	27.96	76	25	143	47.04	152	48	31.58	45	29.61	59	38.82	152	37	24.34	31	20.39	84	55.26
Derby	266	68	25.56	70	26.32	128	48.12	133	48	36.09	35	26.32	50	37.59	133	20	15.04	35	26.32	78	58.65
Bournemouth	266	80	30.08	58	21.8	128	48.12	133	47	35.34	35	26.32	51	38.35	133	33	24.81	23	17.29	77	57.89
Watford	304	73	24.01	66	21.71	165	54.28	152	45	29.61	40	26.32	67	44.08	152	28	18.42	26	17.11	98	64.47
Brighton	266	78	29.32	85	31.95	103	38.72	133	45	33.83	46	34.59	42	31.58	133	33	24.81	39	29.32	61	45.86
Nott'm Forest	226	64	28.32	67	29.65	95	42.04	113	40	35.4	38	33.63	35	30.97	113	24	21.24	29	25.66	60	53.1
QPR	217	58	26.73	48	22.12	111	51.15	108	37	34.26	30	27.78	41	37.96	109	21	19.27	18	16.51	70	64.22
Hull	190	41	21.58	48	25.26	101	53.16	95	29	30.53	24	25.26	42	44.21	95	12	12.63	24	25.26	59	62.11
Sheffield United	187	39	20.86	45	24.06	103	55.08	94	29	30.85	23	24.47	42	44.68	93	10	10.75	22	23.66	61	65.59
Ipswich	145	44	30.34	34	23.45	67	46.21	73	26	35.62	18	24.66	29	39.73	72	18	25	16	22.22	38	52.78
Reading	114	32	28.07	23	20.18	59	51.75	57	23	40.35	12	21.05	22	38.6	57	9	15.79	11	19.3	37	64.91
Brentford	114	38	33.33	30	26.32	46	40.35	57	22	38.6	17	29.82	18	31.58	57	16	28.07	13	22.81	28	49.12
Cardiff	76	17	22.37	13	17.11	46	60.53	38	11	28.95	7	18.42	20	52.63	38	6	15.79	6	15.79	26	68.42
Bradford	76	14	18.42	20	26.32	42	55.26	38	10	26.32	15	39.47	13	34.21	38	4	10.53	5	13.16	29	76.32
Huddersfield	76	12	15.79	17	22.37	47	61.84	38	8	21.05	8	21.05	22	57.89	38	4	10.53	9	23.68	25	65.79
Barnsley	38	10	26.32	5	13.16	23	60.53	19	7	36.84	4	21.05	8	42.11	19	3	15.79	1	5.26	15	78.95
Blackpool	38	10	26.32	9	23.68	19	50	19	5	26.32	5	26.32	9	47.37	19	5	26.32	4	21.05	10	52.63
Oldham	33	8	24.24	10	30.3	15	45.45	16	4	25	6	37.5	6	37.5	17	4	23.53	4	23.53	9	52.94
Swindon	36	4	11.11	14	38.89	18	50	18	4	22.22	7	38.89	7	38.89	18	0	0	7	38.89	11	61.11
Luton	38	6	15.79	8	21.05	24	63.16	19	4	21.05	4	21.05	11	57.89	19	2	10.53	4	21.05	13	68.42
